MNI.coordinate,SDM.Z,P,Voxels,Description,Direction,group
"-6,-32,32",3.238,0.000601053,586,"Left median network, cingulum",positive,pediatric
"26,-78,36",3.087,0.001012504,471,"Right superior occipital gyrus, BA 19",positive,pediatric
"-10,52,-2",2.958,0.00154978,144,"Left superior frontal gyrus, medial orbital, BA 10",positive,pediatric
"-18,-98,-6",2.835,0.00229466,131,"Left calcarine fissure / surrounding cortex, BA 18",positive,pediatric
"6,-36,56",2.455,0.007048428,138,Right paracentral lobule,positive,pediatric
"-2,42,8",2.298,0.010780752,90,"Left anterior cingulate / paracingulate gyri, BA 32",positive,pediatric
"-2,42,-22",2.094,0.018122196,26,"Left gyrus rectus, BA 11",positive,pediatric
"-2,46,-26",1.726,0.042152703,1,"Left gyrus rectus, BA 11",positive,pediatric
"10,52,-16",1.645,0.049946666,1,Corpus callosum,positive,pediatric
"46,-54,42",-3.111,0.000932395,269,"Right inferior parietal (excluding supramarginal and angular) gyri, BA 40",negative,pediatric
"-48,-22,0",-3.096,0.000981152,211,Corpus callosum,negative,pediatric
"52,-24,2",-1.825,0.034022927,9,Corpus callosum,negative,pediatric
"-44,-16,-16",-1.789,0.036807954,6,"Left inferior network, inferior longitudinal fasciculus",negative,pediatric
"-8,52,-20",4.35,0.000006795,916,"Left gyrus rectus, BA 11",positive,congenital
"-16,-100,-6",3.835,0.000062823,950,"Left calcarine fissure / surrounding cortex, BA 17",positive,congenital
"-22,-38,60",3.621,0.000146985,755,"(undefined), BA 3",positive,congenital
"26,-76,38",3.187,0.000718713,508,"Right superior occipital gyrus, BA 19",positive,congenital
"30,-32,56",3.494,0.000237823,457,"Right postcentral gyrus, BA 3",positive,congenital
"-8,38,12",3.387,0.000352979,419,"Left anterior cingulate / paracingulate gyri, BA 32",positive,congenital
"-4,-28,32",2.901,0.001861453,399,"Left median cingulate / paracingulate gyri, BA 23",positive,congenital
"62,2,10",2.817,0.002423048,319,"Right rolandic operculum, BA 6",positive,congenital
"14,-44,-10",3.679,0.000117242,259,"Right cerebellum, hemispheric lobule IV / V, BA 30",positive,congenital
"-8,-52,-8",2.704,0.003427625,287,"Left cerebellum, hemispheric lobule IV / V, BA 18",positive,congenital
"-26,-92,20",3.424,0.00030905,240,"Left middle occipital gyrus, BA 18",positive,congenital
"8,-72,22",2.994,0.001375616,102,Corpus callosum,positive,congenital
"-42,-36,22",2.463,0.006892085,70,"Left superior temporal gyrus, BA 48",positive,congenital
"-56,10,30",2.664,0.003862798,52,"Left precentral gyrus, BA 44",positive,congenital
"-18,40,30",2.625,0.00433439,36,Corpus callosum,positive,congenital
