Checked-RK,Checked-FAM,study,year,Study,UniqueStudy,Etiology,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,MRI Tesla,AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,left,volume,GM,,,increase,0.2469,0.1226,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,left,volume,WM,,,decrease,0.1757,0.0875,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,left,ratio GM/WM,GM/WM,,,same,0,0,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,left,GM+WM,GM+WM,,,increase,0.2245,0.1116,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,right,volume,GM,,,increase,0.2439,0.1211,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,right,volume,WM,,,increase,0.2016,0.1003,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,right,ratio GM/WM,GM/WM,,,increase,0.0736,0.0368,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,temporal lobe,right,GM+WM,GM+WM,,,increase,0.2016,0.1003,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,left,volume,GM,,,decrease,0.0272,0.0136,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,left,volume,WM,,,decrease,0.4217,0.2063,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,left,ratio GM/WM,GM/WM,,,increase,0.8881,0.4058,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,left,GM+WM,GM+WM,,,increase,0.2229,0.1108,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,right,volume,GM,,,increase,0.486,0.2361,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,right,volume,WM,,,increase,0.0211,0.0105,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,right,ratio GM/WM,GM/WM,,,increase,1.1846,0.5096,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,STG,right,GM+WM,GM+WM,,,increase,0.3324,0.164,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,left,volume,GM,,,increase,0.3639,0.179,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,left,volume,WM,,,decrease,0.4608,0.2245,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,left,ratio GM/WM,GM/WM,,,increase,1.3324,0.5544,
,,Emmorey et al. PNAS,2003,1,1,congenital,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,1.5,256,192,124,1.5,24,NEX SPGR,T1,VBM,,Manual,,,,,temporal lobe,HG,left,GM+WM,GM+WM,,,increase,0.1404,0.07,
