study,pubmed.id,country,authors,title,publication,doi,email,year,Study,UniqueStudy,Etiology,lingual,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,Handedness,MRI Machine,Coils,MRI Tesla,Flip Angle,Repitition Time(ms),Echo Time (ms),Inversion Time (ms) ,NumberExcitations(NEX),AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,FWHM,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,SummaryLeaning,MeanControl,SDControl,MeanHL,SDHL,Z score,F test,t-value,P-value,ClusterSize,DoubleChecked,References,ScopusCitations
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,left,volume,GM,,,increase,0.2469,0.1226,,73714,10041,76061,8933,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,left,volume,WM,,,decrease,0.1757,0.0875,,39714,6660,40808,5760,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,left,ratio GM/WM,GM/WM,,,same,0,0,,1.87,0.12,1.87,0.13,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,left,GM+WM,GM+WM,,,increase,0.2245,0.1116,,113427,16328,116869,14261,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,right,volume,GM,,,increase,0.2439,0.1211,,73716,11000,76186,9170,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,right,volume,WM,,,increase,0.2016,0.1003,,39996,7681,40911,6292,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,right,ratio GM/WM,GM/WM,,,increase,0.0736,0.0368,,1.86,0.15,1.87,0.12,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,temporal lobe,right,GM+WM,GM+WM,,,increase,0.2016,0.1003,,113712,18278,117097,15165,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,left,volume,GM,,,decrease,0.0272,0.0136,,16099,3599,16011,2835,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,left,volume,WM,,,decrease,0.4217,0.2063,,6020,1417,5493,1056,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,left,ratio GM/WM,GM/WM,,,increase,0.8881,0.4058,,2.69,0.25,2.95,0.33,,,,0.003,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,left,GM+WM,GM+WM,,,increase,0.2229,0.1108,,20588,4426,21504,3765,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,right,volume,GM,,,increase,0.486,0.2361,,13811,2987,15227,2838,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,right,volume,WM,,,increase,0.0211,0.0105,,6777,1498,6809,1538,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,right,ratio GM/WM,GM/WM,,,increase,1.1846,0.5096,,2.04,0.15,2.27,0.23,,,,0.0001,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,STG,right,GM+WM,GM+WM,,,increase,0.3324,0.164,,20588,4426,22035,4279,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,left,volume,GM,,,increase,0.3639,0.179,,1724,398,1901,561,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,left,volume,WM,,,decrease,0.4608,0.2245,,640,193,554,180,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,left,ratio GM/WM,GM/WM,,,increase,1.3324,0.5544,,2.78,0.52,3.5,0.56,,,,0.0001,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,left,GM+WM,GM+WM,,,increase,0.1404,0.07,,2364,565,2455,722,,,,,,y,y,y
Emmorey et al. PNAS,12904582,USA,"Emmorey K, Allen JS, Bruss J, Schenker N, Damasio H.",A morphometric analysis of auditory brain regions in congenitally deaf adults.,Proc Natl Acad Sci U S A. 2003 Aug 19;100(17):10049-54. ,https://doi.org/10.1073/pnas.1730169100,emmorey@salk.edu,2003,1,1,congenital,Prelingual,bilateral,severe,25,11,14,23.8,4.1,19,38,86.8,8.28,,,,,,,ASL,25,11,14,28.5,5.4,22,39,Right,GE Signa scanner,,1.5,30,24,7,,1,256,192,124,1.5,24,NEX SPGR,T1,VBM,,,Manual,,,,,temporal lobe,HG,right,volume,GM,,,increase,0.2793,0.1383,,1485,420,1597,381,,,,,,y,y,y
